HS92,S3
293100,5155
293211,51569
293212,51569
293213,51569
293219,51569
293221,51562
293229,51563
293290,51569
293311,51571
293319,51571
293321,51572
293329,51573
293331,51574
293339,51574
293340,51575
293351,51576
293359,51576
293361,51576
293369,51576
293371,51561
293379,51561
293390,51577
293410,51579
293420,51579
293430,51578
293490,51579
293500,5158
293610,54111
293621,54112
293622,54113
293623,54113
293624,54113
293625,54113
293626,54113
293627,54114
293628,54115
293629,54116
293690,54117
293710,54152
293721,54153
293722,54153
293729,54153
293791,54151
293792,54159
293799,54159
293810,54161
293890,54161
293910,54141
293921,54142
293929,54142
293930,54143
293940,54144
293950,54145
293960,54146
293970,54147
293990,54149
294000,51692
294110,54131
294120,54132
294130,54133
294140,54139
294150,54139
294190,54139
294200,51699
300110,54162
300120,54162
300190,54162
300210,54163
300220,54163
300231,54163
300239,54163
300290,54164
300310,54211
300320,54212
300331,54221
300339,54222
300340,54231
300390,54291
300410,54213
300420,54219
300431,54223
300432,54224
300439,54229
300440,54232
300450,54292
300490,54293
300510,54191
300590,54191
300610,54199
300620,54192
300630,54193
300640,54199
300650,54199
300660,54199
310100,2721
310210,56216
310221,56213
310229,56212
310230,56211
310240,56219
310250,2722
310260,56214
310270,56215
310280,56217
310290,56219
310310,56222
310320,56221
310390,56229
310410,2724
310420,56231
310430,56232
310490,56239
310510,56296
310520,56291
310530,56293
310540,56294
310551,56295
310559,56295
310560,56292
310590,56299
320110,53221
320120,53221
320130,53221
320190,53221
320210,53231
320290,53232
320300,53222
320411,53111
320412,53112
320413,53113
320414,53114
320415,53115
320416,53116
320417,53117
320419,53119
320420,53121
320490,53121
320500,53122
320610,53311
320620,53312
320630,53313
320641,53314
320642,53315
320643,53316
320649,53317
320650,53318
320710,53351
320720,53351
320730,53351
320740,53351
320810,53342
320820,53342
320890,53342
320910,53341
320990,53341
321000,53343
321100,53353
321210,53344
321290,53344
321310,53352
321390,53352
321410,53354
321490,53354
321511,53321
321519,53329
321590,89591
330111,55131
330112,55131
330113,55131
330114,55131
330119,55131
330121,55132
330122,55132
330123,55132
330124,55132
330125,55132
330126,55132
330129,55132
330130,55133
330190,55135
330210,55141
330290,55149
330300,5531
330410,5532
330420,5532
330430,5532
330491,5532
330499,5532
330510,5533
330520,5533
330530,5533
330590,5533
330610,5534
330690,5534
330710,55351
330720,55352
330730,55353
330741,55354
330749,55354
330790,55359
340111,55411
340119,55415
340120,55419
340211,55421
340212,55421
340213,55421
340219,55421
340220,55422
340290,55423
340311,59771
340319,59772
340391,59773
340399,59774
340410,59831
340420,59835
340490,59839
340510,55431
340520,55432
340530,55433
340540,55434
340590,55435
340600,89931
340700,59895
350110,59221
350190,59222
350210,0253
350290,59223
350300,59224
350400,59225
350510,59226
350520,59227
350610,59229
350691,59229
350699,59229
350710,51691
350790,51691
360100,59311
360200,59312
360300,5932
360410,59331
360490,59333
360500,89932
360610,89934
360690,89939
370110,8822
370120,8822
370130,8822
370191,8822
370199,8822
370210,8823
370220,8823
370231,8823
370232,8823
370239,8823
370241,8823
370242,8823
370243,8823
370244,8823
370251,8823
370252,8823
370253,8823
370254,8823
370255,8823
370256,8823
370291,8823
370292,8823
370293,8823
370294,8823
370295,8823
370310,8824
370320,8824
370390,8824
370400,8825
370510,8826
370520,8826
370590,8826
370610,8831
370690,8839
370710,8821
370790,8821
380110,59861
380120,59861
380130,59861
380190,59861
380210,59864
380290,59865
380300,59811
380400,59812
380510,59813
380520,59813
380590,59813
380610,59814
380620,59814
380630,59814
380690,59814
380700,59818
380810,5911
380820,5912
380830,5913
380840,59141
380890,59149
380910,59891
380991,59891
380992,59891
380993,59891
380999,59891
381010,59896
381090,59896
381111,59721
381119,59721
381121,59725
381129,59725
381190,59729
381210,59863
381220,59893
381230,59893
381300,59894
381400,53355
381511,59881
381512,59883
381519,59885
381590,59889
381600,66233
381710,59841
381720,59845
381800,5985
381900,59731
382000,59733
382100,59867
382200,59869
382310,59899
382320,59899
382330,59899
382340,59897
382350,59898
382360,59899
382390,59899
390110,57111
390120,57112
390130,5712
390190,5719
390210,57511
390220,57512
390230,57513
390290,57519
390311,57211
390319,57219
390320,57291
390330,57292
390390,57299
390410,57311
390421,57312
390422,57313
390430,57391
390440,57392
390450,57393
390461,57394
390469,57394
390490,57399
390511,57591
390519,57591
390520,57592
390590,57592
390610,57521
390690,57529
390710,57411
390720,57419
390730,5742
390740,57431
390750,57432
390760,57433
390791,57434
390799,57439
390810,57531
390890,57539
390910,57541
390920,57542
390930,57543
390940,57544
390950,57545
391000,57593
391110,57596
391190,57596
391211,57551
391212,57552
391220,57553
391231,57554
391239,57554
391290,57559
391310,57594
391390,57595
391400,57597
391510,5791
391520,5792
391530,5793
391590,5799
391610,5831
391620,5832
391690,5839
391710,5811
391721,5812
391722,5812
391723,5812
391729,5812
391731,5813
391732,5814
391733,5815
391739,5816
391740,5817
391810,89331
391890,89331
391910,58211
391990,58219
392010,58221
392020,58222
392030,58223
392041,58224
392042,58224
392051,58225
392059,58225
392061,58226
392062,58226
392063,58226
392069,58226
392071,58228
392072,58227
392073,58228
392079,58228
392091,58229
392092,58229
392093,58229
392094,58229
392099,58229
392111,58291
392112,58291
392113,58291
392114,58291
392119,58291
392190,58299
392210,89321
392220,89321
392290,89321
392310,89319
392321,89311
392329,89311
392330,89319
392340,89319
392350,89319
392390,89319
392410,89332
392490,89332
392510,89329
392520,89329
392530,89329
392590,89329
392610,89394
392620,84821
392630,89395
392640,89399
392690,89399
400110,2311
400121,23121
400122,23125
400129,23129
400130,2313
400211,23211
400219,23211
400220,23212
400231,23213
400239,23213
400241,23214
400249,23214
400251,23215
400259,23215
400260,23216
400270,23217
400280,23218
400291,23219
400299,23219
400300,23221
400400,23222
400510,62111
400520,62112
400591,62119
400599,62119
400610,62121
400690,62129
400700,62131
400811,62132
400819,62132
400821,62133
400829,62133
400910,62141
400920,62142
400930,62143
400940,62144
400950,62145
401010,62921
401091,62929
401099,62929
401110,6251
401120,6252
401130,6253
401140,62541
401150,62542
401191,62551
401199,62559
401210,62592
401220,62593
401290,62594
401310,62591
401320,62591
401390,62591
401410,62911
401490,62919
401511,84822
401519,84822
401590,84829
401610,62992
401691,62999
401692,62999
401693,62999
401694,62999
401695,62999
401699,62999
401700,62991
410110,2112
410121,21111
410122,21111
410129,21111
410130,21112
410140,21113
410210,2116
410221,2117
410229,2117
410310,2114
410320,21199
410390,21199
410410,6113
410421,61141
410422,61141
410429,61141
410431,61142
410439,61142
410511,61151
410512,61151
410519,61151
410520,61152
410611,61161
410612,61161
410619,61161
410620,61162
410710,61171
410721,61172
410729,61172
410790,61179
410800,61181
410900,61183
411000,21191
411100,6112
420100,6122
420211,83121
420212,83122
420219,83129
420221,83111
420222,83112
420229,83119
420231,83191
420232,83191
420239,83191
420291,83199
420292,83199
420299,83199
420310,84811
420321,89477
420329,84812
420330,84813
420340,84819
420400,6121
420500,6129
420610,89991
420690,89991
430110,2121
430120,21221
430130,21222
430140,21223
430150,21224
430160,21225
430170,21226
430180,21229
430190,2123
430211,61311
430212,61312
430213,61313
430219,61319
430220,6132
430230,6133
430310,84831
